date,inflation,birate,ihs
1/1/2009,9.17,8.75,1332.67
2/1/2009,8.6,8.25,1285.48
3/1/2009,7.92,7.75,1434.07
4/1/2009,7.31,7.5,1722.77
5/1/2009,6.04,7.25,1916.83
6/1/2009,3.65,7,2026.78
7/1/2009,2.71,6.75,2323.24
8/1/2009,2.75,6.5,2341.54
9/1/2009,2.83,6.5,2467.59
10/1/2009,2.57,6.5,2367.7
11/1/2009,2.41,6.5,2415.84
12/1/2009,2.78,6.5,2534.36
1/1/2010,3.72,6.5,2610.8
2/1/2010,3.81,6.5,2549.03
3/1/2010,3.43,6.5,2777.3
4/1/2010,3.91,6.5,2971.25
5/1/2010,4.16,6.5,2796.96
6/1/2010,5.05,6.5,2913.68
7/1/2010,6.22,6.5,3069.28
8/1/2010,6.44,6.5,3081.88
9/1/2010,5.8,6.5,3501.3
10/1/2010,5.67,6.5,3635.32
11/1/2010,6.33,6.5,3531.21
12/1/2010,6.96,6.5,3703.51
1/1/2011,7.02,6.5,3409.17
2/1/2011,6.84,6.75,3470.35
3/1/2011,6.65,6.75,3678.67
4/1/2011,6.16,6.75,3819.62
5/1/2011,5.98,6.75,3836.97
6/1/2011,5.54,6.75,3888.57
7/1/2011,4.61,6.75,4130.8
8/1/2011,4.79,6.75,3841.73
9/1/2011,4.61,6.75,3549.03
10/1/2011,4.42,6.5,3790.85
11/1/2011,4.15,6,3715.08
12/1/2011,3.79,6,3821.99
1/1/2012,3.65,6,3941.69
2/1/2012,3.56,5.75,3985.21
3/1/2012,3.97,5.75,4121.55
4/1/2012,4.5,5.75,4180.73
5/1/2012,4.45,5.75,3832.82
6/1/2012,4.53,5.75,3955.58
7/1/2012,4.56,5.75,4142.34
8/1/2012,4.58,5.75,4060.33
9/1/2012,4.31,5.75,4262.56
10/1/2012,4.61,5.75,4350.29
11/1/2012,4.32,5.75,4276.14
12/1/2012,4.3,5.75,4316.69
1/1/2013,4.57,5.75,4453.7
2/1/2013,5.31,5.75,4795.79
3/1/2013,5.9,5.75,4940.99
4/1/2013,5.57,5.75,5034.07
5/1/2013,5.47,5.75,5068.63
6/1/2013,5.9,6,4818.9
7/1/2013,8.61,6.5,4610.38
8/1/2013,8.79,7,4195.09
9/1/2013,8.4,7.25,4316.18
10/1/2013,8.32,7.25,4510.63
11/1/2013,8.37,7.5,4265.44
12/1/2013,8.38,7.5,4274.18
1/1/2014,8.22,7.5,4418.76
2/1/2014,7.75,7.5,4620.22
3/1/2014,7.32,7.5,4768.28
4/1/2014,7.25,7.5,4840.15
5/1/2014,7.32,7.5,4893.91
6/1/2014,6.7,7.5,4878.58
7/1/2014,4.53,7.5,5088.8
8/1/2014,3.99,7.5,5136.86
9/1/2014,4.53,7.5,5137.58
10/1/2014,4.83,7.5,5089.55
11/1/2014,6.23,7.75,5149.89
12/1/2014,8.36,7.75,5226.95
1/1/2015,6.96,7.75,5289.4
2/1/2015,6.29,7.5,5450.29
3/1/2015,6.38,7.5,5518.68
4/1/2015,6.79,7.5,5086.43
5/1/2015,7.15,7.5,5216.38
6/1/2015,7.26,7.5,4910.66
7/1/2015,7.26,7.5,4802.53
8/1/2015,7.18,7.5,4509.61
9/1/2015,6.83,7.5,4223.91
10/1/2015,6.25,7.5,4455.18
11/1/2015,4.89,7.5,4446.46
12/1/2015,3.35,7.5,4593.01
1/1/2016,4.14,7.25,4615.16
2/1/2016,4.42,7,4770.96
3/1/2016,4.45,6.75,4845.37
4/1/2016,3.6,6.75,4838.58
5/1/2016,3.33,6.75,4796.87
6/1/2016,3.45,6.5,5016.65
7/1/2016,3.21,6.5,5215.99
8/1/2016,2.79,5.25,5386
9/1/2016,3.07,5,5364.8
10/1/2016,3.31,4.75,5422.54
11/1/2016,3.58,4.75,5148.91
12/1/2016,3.02,4.75,5296.71
1/1/2017,3.49,4.75,5294.1
2/1/2017,3.83,4.75,5386.69
3/1/2017,3.61,4.75,5568.11
4/1/2017,4.17,4.75,5685.3
5/1/2017,4.33,4.75,5738.15
6/1/2017,4.37,4.75,5829.71
7/1/2017,3.88,4.75,5840.94
8/1/2017,3.82,4.5,5864.06
9/1/2017,3.72,4.25,5900.85
10/1/2017,3.58,4.25,6005.78
11/1/2017,3.3,4.25,5952.14
12/1/2017,3.61,4.25,6355.65
1/1/2018,3.25,4.25,6605.63
2/1/2018,3.18,4.25,6597.22
3/1/2018,3.4,4.25,6188.99
4/1/2018,3.41,4.25,5994.6
5/1/2018,3.23,4.75,5983.59
6/1/2018,3.12,5.25,5799.24
7/1/2018,3.18,5.25,5936.44
8/1/2018,3.2,5.5,6018.46
9/1/2018,2.88,5.75,5976.55
10/1/2018,3.16,5.75,5831.65
11/1/2018,3.23,6,6056.12
12/1/2018,3.13,6,6194.5
1/1/2019,2.82,6,6532.97
2/1/2019,2.57,6,6443.35
3/1/2019,2.48,6,6468.76
4/1/2019,2.83,6,6455.35
5/1/2019,3.32,6,6209.12
6/1/2019,3.28,6,6358.63
7/1/2019,3.32,5.75,6390.51
8/1/2019,3.49,5.5,6328.47
9/1/2019,3.39,5.25,6169.1
10/1/2019,3.13,5,6228.32
11/1/2019,3,5,6011.83
12/1/2019,2.72,5,6299.54
1/1/2020,2.68,5,5940.05
2/1/2020,2.98,4.75,5452.7
3/1/2020,2.96,4.5,4538.93
4/1/2020,2.67,4.5,4716.4
5/1/2020,2.19,4.5,4753.61
6/1/2020,1.96,4.25,4905.39
7/1/2020,1.54,4,5149.63
8/1/2020,1.32,4,6073.87
9/1/2020,1.42,4,4870.04
10/1/2020,1.44,4,5128.23
11/1/2020,1.59,3.75,5612.42
12/1/2020,1.68,3.75,5979.07
1/1/2021,1.55,3.75,5862.35
2/1/2021,1.38,3.5,6241.8
3/1/2021,1.37,3.5,5985.52
4/1/2021,1.42,3.5,5995.62
5/1/2021,1.68,3.5,5947.46
6/1/2021,1.33,3.5,5985.49
7/1/2021,1.52,3.5,6070.04
8/1/2021,1.59,3.5,6150.3
9/1/2021,1.6,3.5,6286.94
10/1/2021,1.66,3.5,6591.35
11/1/2021,1.75,3.5,6533.93
12/1/2021,1.87,3.5,6581.48
1/1/2022,2.18,3.5,6631.15
2/1/2022,2.06,3.5,6888.17
3/1/2022,2.64,3.5,7071.44
4/1/2022,3.47,3.5,7228.91
5/1/2022,3.55,3.5,7148.97
6/1/2022,4.35,3.5,6911.58
7/1/2022,4.94,3.5,6951.12
8/1/2022,4.69,3.75,7178.59
9/1/2022,5.95,4.25,7040.8
10/1/2022,5.71,4.75,7098.89
11/1/2022,5.42,5.25,7081.31
12/1/2022,5.51,5.5,6850.62
1/1/2023,5.28,5.75,6839.34
2/1/2023,5.47,5.75,6843.24
3/1/2023,4.97,5.75,6805.28
4/1/2023,4.33,5.75,6915.72
5/1/2023,4,5.75,6633.26
6/1/2023,3.52,5.75,6661.88
7/1/2023,3.08,5.75,6931.36
8/1/2023,3.27,5.75,6953.26
9/1/2023,2.28,5.75,6939.89
10/1/2023,2.56,6,6752.21
11/1/2023,2.86,6,7080.74
12/1/2023,2.61,6,7272.8
1/1/2024,2.57,6,7207.94
2/1/2024,2.75,6,7316.11
3/1/2024,3.05,6,7288.81
4/1/2024,3,6.25,7234.2
5/1/2024,2.84,6.25,6970.74
6/1/2024,2.51,6.25,7063.58
7/1/2024,2.13,6.25,7255.76
